-march=native;-march=native;-floop-block;-floop-interchange;-floop-strip-mine;-funroll-loops;-flto;Elapsed;Grind;FOM
1;1;0;1;1;0;0;32.72;1.300238;769.08997
1;1;0;1;1;0;1;30.90;1.2281149;814.25604
1;1;0;1;1;1;0;31.78;1.2627845;791.90076
1;1;0;1;1;1;1;30.59;1.2155778;822.65407
1;1;1;0;0;0;0;31.39;1.2473284;801.71348
1;1;1;0;0;0;1;31.27;1.2425164;804.81837
1;1;1;0;0;1;0;30.66;1.2182595;820.84315
1;1;1;0;0;1;1;33.01;1.3119741;762.2102
1;1;1;0;1;0;0;31.38;1.2469424;801.96165
1;1;1;0;1;0;1;31.67;1.2586461;794.50449
1;1;1;0;1;1;0;32.03;1.2726614;785.75497
1;1;1;0;1;1;1;31.00;1.2317421;811.85827
1;1;1;1;0;0;0;30.47;1.2108683;825.85367
1;1;1;1;0;0;1;31.99;1.271407;786.53019
1;1;1;1;0;1;0;31.02;1.232898;811.09709
1;1;1;1;0;1;1;30.56;1.2146282;823.2972
1;1;1;1;1;0;0;30.83;1.2250652;816.28308
1;1;1;1;1;0;1;30.82;1.2247872;816.46839
1;1;1;1;1;1;0;32.01;1.2718895;786.23183
1;1;1;1;1;1;1;33.23;1.3205595;757.25481
